,TSNE 1,TSNE_2
BE-001,-5.2234144,2.6664672
BE-003,1.5587941,12.794813
BE-004,-9.993709,-3.1346283
BE-005,-11.196891,-36.807663
BE-007,-5.156631,3.5185843
BE-009,9.403413,10.76198
BE-011,17.239836,15.074607
BE-013,7.128885,8.162199
BE-014,-4.380902,-1.7448752
BE-015,-8.220646,1.4509649
BE-016,-9.664572,-3.2277093
BE-021,-20.371664,-41.64649
BE-026,-3.2323554,6.4064646
BE-027,16.650595,16.151499
BE-031,-5.179126,-0.41220456
BE-035,16.341223,15.211369
BE-038,18.352562,16.289639
BE-044,4.39184,2.4312751
BE-045,-4.914351,4.576638
BE-046,0.36560616,11.063136
BE-048,-15.314297,-40.806927
BE-049,-11.770057,-6.166415
BE-052,11.805738,8.168598
BE-053,-10.412815,-5.123553
BE-055,-8.363462,-37.24937
BE-056,-16.88363,-38.628098
BE-059,-18.624517,-40.899017
BE-061,-11.309544,-2.3607438
BE-065,7.500211,7.3608727
BE-066,-17.748098,-40.581318
BE-067,-2.8923833,-2.144327
BE-070,-11.023644,-4.9620695
BE-073,22.316883,13.607798
BE-077,4.4773197,14.133679
BE-080,-9.687315,-5.5306764
BE-087,2.7459354,5.191612
BE-090,-13.826279,-40.777203
BE-095,-9.323179,-37.329777
BE-100,-8.20999,-36.04799
BE-106,-5.3671284,2.5645463
BE-113,9.029475,3.7208536
BE-117,-9.367946,-3.6832259
BE-119,4.9649806,3.9754283
BE-122,11.104353,10.330505
BE-124,5.065318,7.877845
BE-127,-4.1976604,-0.43162295
BE-128,-12.394909,-4.9742346
BE-133,-9.908639,-5.8369823
BE-134,-3.599369,5.208349
BE-140,5.594936,4.6060944
BE-141,0.9415747,12.722635
BE-142,-12.966525,-38.130207
BE-149,-7.0868297,-36.041805
BE-150,19.441402,18.275658
BE-153,10.542752,9.282083
BE-162,-6.53506,-36.685326
BE-163,-6.804628,1.9051244
BE-164,-6.1464477,-35.041214
BE-170,17.736189,18.473564
BE-171,7.370017,5.1489706
BE-172,19.189892,19.373276
BE-174,-1.4464877,5.414039
BE-182,0.650513,13.905365
BS-001,15.000145,15.251597
BS-003,21.882233,15.662789
BS-005,12.08523,9.036672
BS-008,15.438808,14.977758
BS-015,-8.401246,-36.49866
BS-051,-18.3301,-40.816975
BS-053,22.045385,19.464163
BS-059,-13.662719,-38.032303
BS-064,-13.646451,-39.990055
BS-066,-13.890967,-39.171024
BS-068,10.747933,9.62636
BS-080,-10.714478,-6.091219
CH-055,16.848022,18.599157
CH-056,1.8745425,14.1321125
CH-057,1.1206716,2.290771
CH-058,8.176304,4.1809983
CH-059,-5.0238166,4.862081
CH-064,-13.513931,-36.730724
CH-065,16.650063,19.249939
CH-066,-5.641885,0.004058847
CH-067,-19.597305,-39.22365
CH-069,-8.531647,1.318555
CH-071,6.320811,2.7431371
CH-072,-10.579181,-1.2070128
CH-075,-10.128715,-2.1466477
CH-080,-9.622926,-1.5556202
GE-002,19.921343,20.07763
GE-015,1.500629,13.786297
GE-016,-6.9535365,1.8876224
GE-017,22.133148,16.230207
GE-018,-18.424349,-39.160812
GE-021,-2.952752,-1.4819053
GE-022,9.952219,3.1544416
GE-023,3.267894,6.4017434
GE-024,22.682655,16.03423
GE-025,5.3906584,12.072993
GE-030,-3.2570288,0.069667704
GE-031,-14.001125,-36.80419
GE-032,-1.1386571,-0.7439176
GE-038,-1.1621394,-0.16036998
GE-041,-1.6682298,7.8685117
GE-048,-12.833266,-40.65059
GE-054,-2.3670318,-0.85412544
GE-056,16.941805,17.693176
GE-062,15.328848,15.515125
GE-076,-1.6379848,-1.0165021
GE-080,-17.741747,-38.339756
LAU-001,1.9984977,5.443927
LAU-004,3.1915922,8.837559
LAU-005,9.446701,9.214843
LAU-006,1.0661173,0.37934592
LAU-010,-1.4806726,1.792325
LAU-011,21.903183,18.25287
LAU-014,-1.4060464,0.56392336
LAU-020,-16.736696,-39.96313
LAU-024,-2.3770773,-1.5815749
LAU-025,3.6846883,11.584313
LAU-028,-20.37133,-40.42941
LAU-032,16.69369,17.18311
LAU-033,-2.4448829,-0.64940727
LAU-036,17.905958,19.15744
LAU-038,-0.08423943,3.3598158
LAU-040,6.8717256,4.7114496
LAU-042,5.3359876,14.485123
LAU-043,-1.2568746,9.714984
LAU-044,8.26618,3.4046981
LAU-047,3.4611926,3.4687512
LAU-052,18.854918,21.16586
LAU-054,6.6307306,3.9291644
LAU-055,-14.719003,-39.280827
LAU-058,17.725412,17.362667
LAU-059,0.71533245,5.78633
LAU-061,1.9025109,10.866003
LAU-064,2.4851315,1.8350589
LAU-066,-2.2892575,8.788671
LAU-067,19.077522,20.355713
LAU-071,2.636497,11.412419
LAU-073,-17.669819,-43.213966
LAU-074,8.319457,3.8192587
LAU-076,-18.64622,-42.417336
LAU-078,4.4387946,3.458799
LAU-089,19.10538,16.845678
LAU-093,1.0798022,14.905263
LAU-097,1.830175,0.37305465
LAU-100,-1.0945243,8.647884
LAU-102,-13.435558,-40.705868
LAU-108,14.278278,12.843817
LAU-113,4.2020893,4.7900105
LAU-123,0.6855377,3.6353245
LAU-124,5.5234904,5.7603245
LAU-125,2.8728926,12.085863
LAU-128,8.270014,8.9148855
LAU-137,-0.59523135,1.1232747
LAU-142,2.4066043,3.156141
LAU-144,-3.1694772,3.5345907
LAU-155,-0.9570323,1.7015522
LAU-156,2.1417768,7.240143
LAU-158,0.6980544,1.2782854
LAU-159,-20.627693,-41.797432
LAU-161,3.7843857,1.6164798
LAU-176,-10.799073,-3.0753746
LAU-179,-11.94826,-2.2252285
LAU-184,-5.0060496,-2.4273527
LAU-185,3.0535758,1.8705938
LAU-188,-20.19039,-40.436493
LAU-189,0.985602,12.072209
LAU-191,-0.3793137,2.6982443
SG-002,1.9103743,12.00637
SG-004,7.7128763,3.1789632
SG-008,-18.073387,-41.78274
SG-010,-12.190671,-5.4080176
SG-013,-19.821512,-42.43034
SG-014,-8.924154,-4.832186
SG-016,7.6041045,14.100813
SG-018,20.572983,19.582798
SG-019,7.585028,4.8956
SG-022,-18.039959,-42.300903
SG-023,-18.781057,-39.7471
SG-026,21.692532,20.240265
SG-027,5.7215114,6.7056756
SG-028,-20.106478,-43.424507
SG-029,12.488169,7.3006244
SG-030,0.9535782,0.89644384
SG-034,-12.121417,-4.02461
SG-036,-19.049618,-39.060944
SG-037,21.550846,19.917875
SG-038,-20.80302,-41.263493
SG-041,-17.936857,-39.805344
SG-044,-3.9224396,2.2739415
SG-045,-11.238634,-3.9830456
SG-047,-11.512431,-38.890884
SG-048,-13.0393715,-38.89697
SG-049,-19.781332,-40.806637
SG-052,-13.005041,-3.3020847
SG-053,8.566119,8.596511
SG-058,-11.47406,-5.592744
SG-059,-15.814442,-40.87442
SG-061,-12.654444,-3.9400418
SG-062,0.07246792,10.483136
SG-063,21.571333,20.699121
SG-073,18.059065,20.819893
SG-075,-0.5673898,2.3816843
SG-084,-20.425947,-42.686916
SG-090,-5.6701374,4.3366795
SG-094,-3.4469993,-0.8626957
SG-095,10.552127,7.16522
SG-096,-4.846351,-1.1225615
SG-099,-8.49957,-2.5428436
SG-101,-13.239456,-37.11466
SG-102,0.8833432,14.948279
SG-104,-10.515944,-4.505829
SG-110,-14.959116,-38.76617
SG-112,-19.541323,-42.164513
SG-114,-18.86099,-40.34181
SG-115,10.1386595,7.916528
SG-117,5.2933493,7.05037
SG-125,-19.818937,-41.737152
SG-126,15.705758,16.143091
SG-128,-13.410619,-38.521267
