sample.id,TSNE 1,TSNE_2
BE-001,8.4034815,1.8368216
BE-003,-8.504089,-2.6874352
BE-004,1.2933971,-11.968049
BE-005,-6.9884963,-0.50386566
BE-007,5.0541763,-4.9541326
BE-008,3.2128277,-9.927775
BE-009,-3.0236092,8.392818
BE-011,-10.372333,-5.970158
BE-013,-11.782616,-4.1259155
BE-014,-0.44351986,-9.849449
BE-015,-2.6706374,-8.246669
BE-016,5.4374795,-8.308919
BE-021,9.707512,1.4098227
BE-026,-3.069018,-4.173804
BE-027,-2.245868,-3.0382788
BE-031,1.6287719,-8.576656
BE-035,-7.080197,3.830457
BE-038,-7.3114944,1.6174219
BE-044,-8.607268,-6.7387266
BE-045,9.496137,-2.7075963
BE-046,-8.927498,-5.535709
BE-048,-4.1120906,6.941529
BE-049,3.0698411,-12.299248
BE-052,-0.1642126,-2.5666063
BE-053,4.254995,-10.352853
BE-054,0.46120548,7.196461
BE-055,-1.0856802,8.025938
BE-056,-3.2208114,4.1978397
BE-057,-5.87386,0.10472789
BE-059,-0.37592825,-1.977207
BE-061,0.18312109,-10.465076
BE-065,3.770769,1.236623
BE-066,7.1984034,2.4268713
BE-067,-1.9358714,-9.100697
BE-070,3.2311602,-10.754002
BE-073,-2.0319824,6.7353983
BE-074,-2.290425,5.414728
BE-077,-8.296826,-4.7264385
BE-080,4.9346347,-9.569067
BE-082,-0.2569651,4.1360183
BE-087,-6.8646374,-2.4710212
BE-090,0.13281384,4.021892
BE-091,4.885558,-10.8478565
BE-095,6.872205,3.1856217
BE-096,4.121142,-10.216459
BE-100,-4.1137953,8.8525505
BE-101,-1.7794944,-1.1027055
BE-106,5.212852,-4.1919217
BE-113,-5.922628,-5.898348
BE-117,2.4512908,-5.723475
BE-119,8.749466,4.568642
BE-122,4.8881326,5.0921845
BE-124,-12.221005,-3.8122835
BE-127,11.244763,-0.5203697
BE-128,3.7800565,-10.630276
BE-133,5.033279,-9.247149
BE-134,-2.0946743,-3.8330774
BE-140,-3.8143568,-3.7335885
BE-141,-4.6798024,-1.1449565
BE-142,-6.748391,2.341738
BE-149,-3.4328172,11.470677
BE-150,-0.34737408,10.779797
BE-153,-12.644979,-1.7190822
BE-162,-4.5988545,13.426305
BE-163,7.722381,-1.6246431
BE-164,-3.580443,12.047964
BE-170,-11.047691,-1.0886129
BE-171,7.1437993,-0.71372795
BE-172,0.021180648,11.619405
BE-174,9.463582,-1.8976563
BE-182,-6.211415,-3.0287979
BE-193,-9.249968,-6.7371593
BS-001,3.5588279,2.267593
BS-003,2.6414964,6.818399
BS-005,-7.845318,-3.920145
BS-008,-10.4250145,-3.7994423
BS-015,2.7402,7.8299313
BS-022,3.1173344,6.3084726
BS-051,5.129794,0.05782927
BS-053,2.1762419,1.1186694
BS-059,-4.81946,-0.030516759
BS-064,3.95361,0.25207368
BS-066,-12.423203,-3.2354352
BS-068,-5.352662,1.6990103
BS-080,4.2046695,-10.97534
CH-055,-10.238086,-1.8632759
CH-056,-1.8931769,3.7051892
CH-057,3.7775755,-5.2496643
CH-058,-9.936267,-5.806094
CH-059,8.36812,-0.7872995
CH-064,7.247814,3.4641979
CH-065,-10.385041,-5.659531
CH-066,2.5609672,-7.9400635
CH-067,9.245951,0.85796565
CH-069,2.575509,-7.479047
CH-071,8.65833,-3.515807
CH-072,1.9966155,-8.185561
CH-075,3.0005517,-8.911667
CH-080,2.299592,-9.019939
GE-002,-1.4145755,7.5735154
GE-015,-11.990841,-2.5653486
GE-016,-9.789199,-5.501039
GE-017,-2.7622988,10.185302
GE-018,-3.2837815,-6.0761027
GE-019,-4.809801,-5.343969
GE-020,1.6339488,-10.458725
GE-021,1.3713229,-10.011412
GE-022,-4.689754,-3.3232794
GE-023,-2.166043,5.965573
GE-024,-1.7293837,10.680498
GE-025,5.5153127,5.2865105
GE-030,-2.993893,-7.597192
GE-031,-3.03288,5.9293084
GE-032,-7.1543922,-4.632675
GE-038,-2.9211006,-4.7933526
GE-041,8.380621,-2.2843926
GE-044,-3.6434124,10.550134
GE-048,-2.9066546,3.5894132
GE-054,9.052921,1.1421279
GE-056,-6.994038,-1.847282
GE-062,-9.362991,0.4501354
GE-076,7.6309924,-0.45642915
GE-080,-1.0554883,-2.046047
LAU-001,-0.7890278,-1.760746
LAU-002,-5.629209,3.2574518
LAU-004,9.4884405,-2.5036602
LAU-005,-6.695408,-2.9597023
LAU-006,-9.648161,-5.7893324
LAU-010,-4.3853884,-7.61754
LAU-011,-10.232471,-1.2612547
LAU-014,-3.1403093,-6.445798
LAU-019,4.6177716,-8.8618355
LAU-020,7.5889416,4.851607
LAU-024,-3.0642414,-7.770875
LAU-025,-1.6975708,4.7786427
LAU-028,7.2899914,-1.744612
LAU-032,-4.745342,9.728559
LAU-033,4.512487,-9.530454
LAU-036,-3.1352062,14.915478
LAU-038,7.526942,-0.6806144
LAU-040,7.356731,0.40517148
LAU-042,6.2919197,-6.307908
LAU-043,7.2961593,-2.421164
LAU-044,6.0546975,1.0949453
LAU-047,9.273027,2.6341474
LAU-049,0.9769847,-10.820218
LAU-052,2.0529351,-13.142098
LAU-053,-5.437746,3.9500065
LAU-054,4.8645372,-3.243799
LAU-055,-3.1132264,1.8030113
LAU-058,6.4371376,-1.2028717
LAU-059,-5.041606,-4.8562613
LAU-061,-11.001069,-4.6158066
LAU-064,6.8268647,-1.0630597
LAU-066,-5.9025707,-7.0164676
LAU-067,4.6442904,-14.3112
LAU-071,5.132391,1.9175601
LAU-072,2.7908797,0.6186992
LAU-073,-4.2042656,-3.4135857
LAU-074,-1.9121346,-2.6091135
LAU-076,6.9004693,2.8759246
LAU-078,7.2149897,0.83890593
LAU-089,-3.6652265,6.0779743
LAU-093,-5.39436,-5.872797
LAU-097,-2.5534518,-1.9273252
LAU-100,9.43827,2.5009825
LAU-101,2.262791,-12.011426
