sample.id,assignment
BE-001,8
BE-003,1
BE-004,3
BE-005,1
BE-007,8
BE-008,3
BE-009,4
BE-011,7
BE-013,7
BE-014,3
BE-015,3
BE-016,3
BE-021,8
BE-026,2
BE-027,2
BE-031,3
BE-035,5
BE-038,5
BE-044,7
BE-045,3
BE-046,7
BE-048,4
BE-049,3
BE-052,7
BE-053,3
BE-054,6
BE-055,4
BE-056,1
BE-057,8
BE-059,7
BE-061,3
BE-065,6
BE-066,6
BE-067,3
BE-070,3
BE-073,4
BE-074,8
BE-077,5
BE-080,3
BE-082,4
BE-087,5
BE-090,4
BE-091,3
BE-095,6
BE-096,3
BE-100,4
BE-101,3
BE-106,8
BE-113,7
BE-117,3
BE-119,1
BE-122,4
BE-124,7
BE-127,3
BE-128,3
BE-133,3
BE-134,8
BE-140,2
BE-141,7
BE-142,5
BE-149,4
BE-150,5
BE-153,7
BE-162,4
BE-163,8
BE-164,4
BE-170,5
BE-171,8
BE-172,5
BE-174,8
BE-182,2
BE-193,7
BS-001,1
BS-003,6
BS-005,5
BS-008,5
BS-015,5
BS-022,6
BS-051,6
BS-053,4
BS-059,7
BS-064,6
BS-066,7
BS-068,5
BS-080,3
CH-055,5
CH-056,1
CH-057,7
CH-058,2
CH-059,8
CH-064,6
CH-065,7
CH-066,3
CH-067,8
CH-069,3
CH-071,2
CH-072,3
CH-075,3
CH-080,3
GE-002,5
GE-015,7
GE-016,8
GE-017,5
GE-018,7
GE-019,2
GE-020,3
GE-021,3
GE-022,7
GE-023,1
GE-024,5
GE-025,4
GE-030,3
GE-031,6
GE-032,2
GE-038,2
GE-041,2
GE-044,4
GE-048,1
GE-054,8
GE-056,5
GE-062,1
GE-076,8
GE-080,7
LAU-001,2
LAU-002,1
LAU-004,2
LAU-005,5
LAU-006,7
LAU-010,3
LAU-011,7
LAU-014,2
LAU-019,3
LAU-020,1
LAU-024,3
LAU-025,1
LAU-028,8
LAU-032,4
LAU-033,3
LAU-036,4
LAU-038,8
LAU-040,6
LAU-042,6
LAU-043,2
LAU-044,6
LAU-047,8
LAU-049,3
LAU-052,4
LAU-053,4
LAU-054,7
LAU-055,7
LAU-058,4
LAU-059,7
LAU-061,1
LAU-064,8
LAU-066,7
LAU-067,4
LAU-071,6
LAU-072,6
LAU-073,2
LAU-074,2
LAU-076,6
LAU-078,6
LAU-089,1
LAU-093,2
LAU-097,3
LAU-100,8
LAU-101,3
LAU-102,4
LAU-108,5
LAU-113,7
